Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.059509277,11.99712,5.511425,4.28203,-0.5821009,0.01614653,0.9705814,8.614258,-47.99137,-16.32038,1000.292
2.079577446,3.619705,1.638366,0.1047266,-0.4552236,0.07516971,0.9548617,8.614258,-47.99137,-16.32038,1000.292
2.099645615,-1.282633,5.213497,-3.212543,-0.4571751,-0.007153008,0.8954291,9.793685,-50.55107,-15.42443,1000.294
2.119714260,-1.344688,3.783444,-4.134007,-0.4496599,-0.04666347,0.8792856,9.793685,-50.55107,-15.42443,1000.294
2.139782429,2.316552,2.472563,-0.4481517,-0.4650472,-0.02952903,0.8856291,9.417112,-50.55339,-15.87773,1000.297
2.159851074,3.43354,0.8637536,2.254809,-0.4079698,-0.03916056,0.8527272,9.417112,-50.55339,-15.87773,1000.297
2.179919243,7.901493,3.008832,4.834908,-0.4416596,-0.004682506,0.8799537,9.808455,-51.30276,-15.42769,1000.294
2.199987888,5.171077,4.3793,2.93055,-0.4674337,0.04942548,0.905768,9.808455,-51.30276,-15.42769,1000.294
2.220055580,2.502716,5.392253,1.087621,-0.4507374,0.01345203,0.8921131,9.808455,-51.30276,-15.42769,1000.296
2.240124226,2.068332,6.822306,1.6405,-0.4445167,-0.008132318,0.8793824,9.807698,-51.30114,-15.88049,1000.296
2.260192394,2.875046,9.086555,4.404892,-0.4376888,-0.03584667,0.8863263,9.807698,-51.30114,-15.88049,1000.297
2.280261040,-3.3925,13.91298,11.9609,-0.4329241,-0.0303641,0.8835593,9.807698,-51.30114,-15.88049,1000.297
2.300329208,-3.3925,16.11765,10.60942,-0.4677591,0.03933756,0.8653038,9.807698,-51.30114,-15.88049,1000.294
2.320397854,-2.027292,19.75237,9.995107,-0.446165,0.02993834,0.9012749,9.807698,-51.30114,-15.88049,1000.294
2.340466023,-4.323324,19.87154,10.48655,-0.4540225,0.006964615,0.8987198,10.19828,-52.0489,-15.88325,1000.293
2.358026028,-4.199214,25.71092,13.92669,-0.4411069,-0.03469644,0.9023463,10.19828,-52.0489,-15.88325,1000.293
2.378093720,-4.757708,31.19279,18.90259,-0.4564287,0.03294452,0.9149498,10.55933,-51.29327,-15.87949,1000.293
2.398161888,-6.619355,39.23683,19.33261,-0.5296062,0.09788994,0.9068582,10.55933,-51.29327,-15.87949,1000.292
2.418230534,-8.853332,39.05807,7.353577,-0.513045,0.04307574,0.9159122,10.55933,-51.29327,-15.87949,1000.292
2.438299179,-11.89402,46.32751,-0.01813522,-0.55416,0.004174699,0.9599829,9.452523,-52.42939,-16.79147,1000.293
2.458367348,-5.812641,60.86637,0.2275885,-0.4205059,-0.01466771,0.9851391,9.452523,-52.42939,-16.79147,1000.293
2.478435993,0.5169594,137.4338,2.684826,-0.4715976,0.07520088,1.281216,9.821712,-52.05122,-16.33655,1000.294
2.498504162,-9.597991,254.9364,36.90185,-0.4095894,0.0163626,1.543197,9.821712,-52.05122,-16.33655,1000.294
2.518571854,5.543406,413.7914,87.88953,-0.3138287,-0.4933532,1.487398,9.821712,-52.05122,-16.33655,1000.294
2.538640499,6.908615,585.6957,87.8281,0.07234264,-0.4269025,1.711124,10.95806,-52.41848,-15.43109,1000.294
2.558708668,155.6542,608.8745,108.0389,-0.2304586,-0.448787,1.505309,10.95806,-52.41848,-15.43109,1000.294
2.578777313,-43.16969,38.5218,34.13746,1.898274,-1.179395,2.939547,12.37564,-50.91383,-11.54154,1000.294
2.598845482,-35.78516,24.28086,-6.591245,0.05702915,-0.3786572,2.953333,12.37564,-50.91383,-11.54154,1000.295
